,index,alim_grp_nom_fr,alim_ssgrp_nom_fr,alim_code,"Energie, Règlement UE N° 1169/2011 (kcal/100 g)","Energie, N x facteur Jones, avec fibres  (kJ/100 g)","Energie, N x facteur Jones, avec fibres  (kcal/100 g)",Eau (g/100 g),"Protéines, N x facteur de Jones (g/100 g)","Protéines, N x 6.25 (g/100 g)",Glucides (g/100 g),Lipides (g/100 g),Sucres (g/100 g),Fructose (g/100 g),Galactose (g/100 g),Glucose (g/100 g),Lactose (g/100 g),Maltose (g/100 g),Saccharose (g/100 g),Amidon (g/100 g),Fibres alimentaires (g/100 g),Polyols totaux (g/100 g),Cendres (g/100 g),Alcool (g/100 g),Acides organiques (g/100 g),AG saturés (g/100 g),AG monoinsaturés (g/100 g),AG polyinsaturés (g/100 g),"AG 4:0, butyrique (g/100 g)","AG 6:0, caproïque (g/100 g)","AG 8:0, caprylique (g/100 g)","AG 10:0, caprique (g/100 g)","AG 12:0, laurique (g/100 g)","AG 14:0, myristique (g/100 g)","AG 16:0, palmitique (g/100 g)","AG 18:0, stéarique (g/100 g)","AG 18:1 9c (n-9), oléique (g/100 g)","AG 18:2 9c,12c (n-6), linoléique (g/100 g)","AG 18:3 c9,c12,c15 (n-3), alpha-linolénique (g/100 g)","AG 20:4 5c,8c,11c,14c (n-6), arachidonique (g/100 g)","AG 20:5 5c,8c,11c,14c,17c (n-3) EPA (g/100 g)","AG 22:6 4c,7c,10c,13c,16c,19c (n-3) DHA (g/100 g)",Cholestérol (mg/100 g),Sel chlorure de sodium (g/100 g),Calcium (mg/100 g),Chlorure (mg/100 g),Cuivre (mg/100 g),Fer (mg/100 g),Iode (µg/100 g),Magnésium (mg/100 g),Manganèse (mg/100 g),Phosphore (mg/100 g),Potassium (mg/100 g),Sélénium (µg/100 g),Sodium (mg/100 g),Zinc (mg/100 g),Rétinol (µg/100 g),Beta-Carotène (µg/100 g),Vitamine D (µg/100 g),Vitamine E (mg/100 g),Vitamine K1 (µg/100 g),Vitamine K2 (µg/100 g),Vitamine C (mg/100 g),Vitamine B1 ou Thiamine (mg/100 g),Vitamine B2 ou Riboflavine (mg/100 g),Vitamine B3 ou PP ou Niacine (mg/100 g),Vitamine B5 ou Acide pantothénique (mg/100 g),Vitamine B6 (mg/100 g),Vitamine B9 ou Folates totaux (µg/100 g),Vitamine B12 (µg/100 g),Nom du Produit en Français,LCI Name,DQR - Note de qualité de la donnée (1 excellente ; 5 très faible),Score unique EF (mPt/kg de produit),Changement climatique (kg CO2 eq/kg de produit),Appauvrissement de la couche d'ozone (E-06 kg CVC11 eq/kg de produit),Rayonnements ionisants (kBq U-235 eq/kg de produit),Formation photochimique d'ozone (E-03 kg NMVOC eq/kg de produit),Particules (E-06 disease inc./kg de produit),Acidification terrestre et eaux douces (mol H+ eq/kg de produit),Eutrophisation terreste (mol N eq/kg de produit),Eutrophisation eaux douces (E-03 kg P eq/kg de produit),Eutrophisation marine (E-03 kg N eq/kg de produit),Utilisation du sol (Pt/kg de produit),Écotoxicité pour écosystèmes aquatiques d'eau douce (CTUe/kg de produit),Épuisement des ressources eau (m3 depriv./kg de produit),Épuisement des ressources énergétiques (MJ/kg de produit),Épuisement des ressources minéraux (E-06 kg Sb eq/kg de produit)
0,0,entrées et plats composés,salades composées et crudités,25601,0.0,0.0,0.0,76.5,9.15,9.15,7.74,4.7,3.08,0.82,0.0,0.78,0.0,0.3,0.97,4.1,2.7,0.0,1.79,0.0,0.0,0.56,1.83,1.76,0.05,0.05,0.05,0.05,0.05,0.008,0.38,0.12,0.0,1.15,0.056,0.0,0.008,0.039,19.2,1.11,20.7,731.0,0.1,1.1,2.0,25.1,0.1,88.4,232.0,0.0,445.0,0.6,2.0,0.0,0.5,1.6,0.0,0.0,2.75,0.04,0.053,4.45,0.16,0.29,31.0,1.45,"Salade de thon et légumes, appertisée, égouttée","Prepared mixed tuna and vegetable salad, canned, drained",2.59,0.91,5.15,1.14,2.09,81.49,0.86,0.12,0.33,0.75,32.85,85.51,99.22,4.47,101.63,19.94
1,1,entrées et plats composés,salades composées et crudités,25602,0.0,0.0,0.0,76.7,8.06,8.06,6.4,5.3,1.9,0.7,0.0,0.6,0.2,0.2,0.6,3.3,2.0,0.0,1.5,0.0,0.0,0.16,3.27,1.54,0.01,0.01,0.01,0.01,0.01,0.01,0.12,0.04,2.24,1.08,0.28,0.016,0.016,0.15,15.2,0.95,22.0,584.0,0.07,0.7,20.0,20.0,0.1,92.0,220.0,30.0,381.0,0.38,21.0,781.0,0.44,2.04,9.75,0.0,0.0,0.032,0.022,4.13,0.2,0.12,11.1,1.23,"Salade composée avec viande ou poisson, appertisée, égouttée","Prepared mixed meat/fish canned, drained salad",2.68,2.87,16.52,3.74,2.84,328.59,3.33,0.48,1.27,1.23,117.3,62.69,187.65,3.16,265.03,31.65
2,2,entrées et plats composés,salades composées et crudités,25605,0.0,0.0,0.0,85.2,2.08,2.08,3.95,3.55,2.38,0.7,0.0,1.0,0.3,0.3,0.3,0.99,2.35,0.0,1.65,0.0,0.0,0.23,0.2,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026,0.0,0.0,0.0,0.11,1.26,27.0,0.0,0.17,1.06,2.46,13.5,0.13,64.1,277.0,1.79,500.0,0.4,0.0,747.0,0.0,1.08,0.0,0.0,6.67,0.056,0.21,1.84,0.88,0.088,19.6,0.018,Champignon à la grecque,Greek-style marinated mushrooms,2.38,0.16,0.88,0.13,0.32,3.71,0.05,0.01,0.02,0.18,4.04,15.52,80.99,4.47,16.99,3.11
3,3,entrées et plats composés,salades composées et crudités,25606,0.0,0.0,0.0,76.0,2.68,2.68,9.9,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,1.95,0.0,0.0,1.43,2.48,3.74,0.0,0.0,0.0,0.0,0.011,0.013,1.03,0.37,0.0,0.0,0.0,0.0,0.0,0.0,68.0,1.32,19.0,0.0,0.12,0.65,0.0,15.0,0.1,52.0,254.0,0.0,529.0,0.31,29.0,36.0,0.0,0.0,0.0,0.0,10.0,0.077,0.06,0.89,0.53,0.14,7.0,0.0,Salade de pommes de terre maison,"Prepared potatoes salad, home-made",1.72,0.56,4.1,0.36,1.92,9.07,0.47,0.07,0.29,0.65,17.08,206.5,86.05,3.35,62.02,5.63
4,4,entrées et plats composés,salades composées et crudités,25608,179.0,753.0,179.0,60.3,4.88,4.88,23.7,6.7,4.9,2.0,0.2,1.5,0.2,1.4,0.2,17.7,2.5,0.9,1.52,0.0,0.38,0.67,4.23,1.45,0.01,0.01,0.01,0.01,0.01,0.01,0.47,0.15,3.95,1.1,0.34,0.01,0.01,0.01,0.1,1.0,24.0,647.0,0.16,0.88,20.0,25.0,0.4,80.0,210.0,20.0,399.0,0.65,0.0,149.0,0.0,1.26,10.6,0.0,6.27,0.087,0.024,0.5,0.26,0.052,14.5,0.0,"Taboulé ou Salade de couscous, préemballé","Tabbouleh, prepacked",2.09,0.16,0.91,0.11,0.31,3.41,0.1,0.01,0.06,0.25,6.77,80.14,34.98,1.98,16.35,3.09
5,5,entrées et plats composés,salades composées et crudités,25609,130.0,542.0,130.0,75.8,4.5,4.5,8.87,8.3,1.2,0.5,0.2,0.7,0.2,0.2,0.2,6.0,0.5,0.5,1.74,0.0,0.54,0.82,5.02,2.04,0.01,0.01,0.01,0.01,0.01,0.01,0.54,0.2,4.57,1.47,0.57,0.01,0.01,0.01,29.6,1.08,13.0,709.0,0.07,0.43,20.0,16.0,0.08,72.0,300.0,20.0,433.0,0.49,21.0,93.6,0.5,3.96,10.9,0.0,21.6,0.08,0.049,0.98,0.44,0.099,21.6,0.0,"Salade de pomme de terre à la piémontaise, préemballée","Potato salad, piémontaise-style, prepacked",1.84,0.45,2.77,0.29,1.4,7.74,0.37,0.05,0.22,0.54,14.44,162.67,92.56,3.7,47.68,5.01
6,6,entrées et plats composés,salades composées et crudités,25614,0.0,0.0,0.0,72.5,5.13,5.13,16.1,4.35,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.3,1.7,0.0,1.49,0.0,0.0,0.53,2.23,0.0,0.0,0.0,0.0,0.0,0.0042,0.0083,0.36,0.12,2.23,1.05,0.2,0.0,0.0,0.013,6.5,1.1,23.3,0.0,0.1,0.43,5.0,13.1,0.1,66.6,143.0,17.7,431.0,0.3,2.0,34.0,0.5,1.63,0.0,0.0,4.48,0.058,0.045,2.65,0.14,0.13,33.5,0.43,Salade de riz,Prepared rice salad,2.06,0.2,1.22,0.17,0.71,4.16,0.08,0.01,0.04,0.24,6.25,65.44,37.1,5.06,26.94,3.1
7,7,entrées et plats composés,salades composées et crudités,25615,0.0,0.0,0.0,72.6,5.7,5.7,13.7,8.1,2.3,0.6,0.0,0.6,0.0,0.1,0.8,10.0,1.7,0.0,1.18,0.0,0.0,2.37,1.46,3.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.04,14.0,86.0,0.06,0.6,4.0,11.0,0.2,37.0,84.0,0.0,51.0,0.4,7.0,1180.0,0.0,1.95,0.0,0.0,21.0,0.04,0.02,0.4,0.0,0.09,16.0,0.0,"Salade de pâtes, végétarienne","Prepared pasta salad, vegetarian",1.91,0.3,2.12,0.21,0.83,7.86,0.21,0.03,0.1,0.65,11.24,112.43,72.23,1.53,37.35,5.55
8,8,entrées et plats composés,salades composées et crudités,25619,0.0,0.0,0.0,70.5,5.19,5.19,14.0,9.94,2.16,1.04,0.0,0.86,0.0,0.28,0.26,7.92,1.98,0.0,1.4,0.0,0.0,1.74,5.85,1.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023,0.0098,11.3,0.95,19.0,492.0,0.085,0.95,3.13,23.3,0.15,69.4,193.0,5.3,378.0,0.53,11.0,494.0,0.12,1.18,0.0,0.0,12.3,0.064,0.057,1.77,0.28,0.14,18.4,0.14,"Salade de pâtes aux légumes, avec poisson ou viande","Prepared pasta salad, with vegetable, meat or fish",2.31,0.43,2.73,0.4,0.9,24.37,0.38,0.05,0.17,0.66,17.65,134.25,53.95,1.61,47.45,8.61
9,9,entrées et plats composés,salades composées et crudités,25628,0.0,0.0,0.0,71.8,8.13,8.13,4.88,10.0,1.71,0.6,0.0,0.51,0.2,0.6,0.2,3.17,2.0,0.0,1.54,0.0,1.66,2.36,4.99,2.09,0.08,0.05,0.03,0.06,0.08,0.26,1.26,0.41,4.6,1.7,0.39,0.01,0.01,0.01,40.7,0.75,100.0,483.0,0.11,0.5,20.0,19.0,0.15,150.0,300.0,20.0,301.0,0.69,27.9,627.0,0.25,2.24,32.0,0.0,1.11,0.096,0.068,2.29,0.47,0.094,29.3,0.48,"Salade César au poulet (salade verte, fromage, croûtos, sauce)","Caesar's salad (salad, chicken, croûtons, sauce)",2.22,0.37,2.81,0.24,0.53,7.44,0.3,0.04,0.18,0.5,10.48,129.78,68.24,3.53,30.85,5.69
